Feature,Importance_XGB,Importance_KAN
90.49.5_exam,1,359
MW_5401_exam,2,219
C01DA02_drug,3,170
age,4,57
J01CR02_drug,5,173
89.01_exam,6,347
gender,7,44
90.44.1_exam,8,145
89.7_exam,9,249
J01MA12_drug,10,104
88.76.1_exam,11,213
90.23.5_exam,12,255
90.56.5_exam,13,168
90.16.3_num,14,4
S01EC04_drug,15,212
M01AE01_drug,16,178
NaN_exam,17,177
M01AB05_drug,18,323
90.30.2_exam,19,243
4AA2F99_drug,20,440
90.55.3_exam,21,381
B01AF01_drug,22,151
88.23_exam,23,403
A02BA02_drug,24,214
MW_3952_exam,25,116
45.23_exam,26,424
90.44.3_exam,27,80
C03EB01_drug,28,300
N05BA12_drug,29,77
90.28.4_exam,30,258
88.79.1_exam,31,428
A11CC05_drug,32,64
90.56.5_num,33,38
C07AG02_drug,34,70
90.21.6_exam,35,54
A10BB09_drug,36,164
90.27.1_exam,37,185
J01BA02_drug,38,382
R03BB04_drug,39,430
C07CB03_drug,40,266
J01CA04_drug,41,278
90.84.5_exam,42,297
90.72.3_exam,43,252
MW_3461_num,44,8
B01AC30_drug,45,154
90.38.4_exam,46,156
4AA2F32_drug,47,473
88.73.5_exam,48,283
90.23.5_num,49,26
90.21.4_exam,50,449
C10AA01_drug,51,61
90.36.6_exam,52,294
90.44.5_exam,53,452
C09AA02_drug,54,81
B03BB01_drug,55,114
90.13.3_exam,56,270
C03EA01_drug,57,181
N05BA06_drug,58,175
N07CA52_drug,59,486
C10BA02_drug,60,91
C09AA04_drug,61,327
9042101_exam,62,16
A02BC01_drug,63,127
A02BC02_drug,64,60
MW_1935_exam,65,315
90.54.4_exam,66,335
90.43.5_exam,67,204
87.37.1_exam,68,391
C01EB18_drug,69,98
A06AD65_drug,70,402
C09BB07_drug,71,128
90.33.4_exam,72,386
J01DD04_drug,73,325
A02AD02_drug,74,267
90.37.4_num,75,53
89.26_exam,76,454
C09CA07_drug,77,195
90.28.1_num,78,15
C09CA03_drug,79,65
G04CA01_drug,80,78
4AA2F15_drug,81,191
90.55.2_exam,82,340
C09BA07_drug,83,132
N06AB03_drug,84,339
H02AB01_drug,85,261
N06AX16_drug,86,203
N06AB10_drug,87,326
G04CA04_drug,88,71
C09CA08_drug,89,371
90.76.1_exam,90,341
C10AA03_drug,91,73
S01EE03_drug,92,280
G04CB01_drug,93,123
90.32.5_exam,94,422
C10AB04_drug,95,259
88.99.2_exam,96,301
90.56.6_exam,97,182
R03BA01_drug,98,348
90.10.4_num,99,19
B02AA02_drug,100,268
N03AA02_drug,101,188
C07AB07_drug,102,113
A10BD02_drug,103,172
B01AB05_drug,104,93
C08CA01_drug,105,66
B01AC04_drug,106,100
C10AA07_drug,107,90
A02BC03_drug,108,72
MW39_exam,109,120
90.75.4_exam,110,155
N02BE51_drug,111,414
G04CA02_drug,112,241
C10AX06_drug,113,63
S01EC03_drug,114,238
M04AA03_drug,115,157
88.73.1_exam,116,289
A12BA01_drug,117,106
J01MA02_drug,118,196
G04BD04_drug,119,314
B01AC06_drug,120,180
C09AA05_drug,121,62
H03AA01_drug,122,143
90.22.3_exam,123,390
90.72.3_num,124,11
M01AH05_drug,125,198
88.72.1_exam,126,318
90.15.4_exam,127,231
MW_2152_num,128,29
C10AA05_drug,129,69
M05BA04_drug,130,153
S01ED01_drug,131,322
90.22.5_exam,132,316
90.56.3_exam,133,236
C09DA08_drug,134,233
87.44.1_exam,135,417
C02CA04_drug,136,126
88.74.1_exam,137,435
90.55.1_exam,138,295
N03AG01_drug,139,115
MW_1946_exam,140,229
90.10.4_exam,141,404
90.42.1_exam,142,244
C09BA12_drug,143,349
A10BA02_drug,144,68
90.43.3_exam,145,487
N06AB05_drug,146,84
L02BB03_drug,147,158
88.77.2_exam,148,355
C03CA01_drug,149,144
C09DA03_drug,150,92
A10BB12_drug,151,83
R03AK10_drug,152,206
C09DA04_drug,153,107
C07AB03_drug,154,275
4AA2F09_drug,155,319
4AA2F33_drug,156,451
J01FA10_drug,157,423
M04AA01_drug,158,67
R05CB06_drug,159,331
PRESSIONE_DIAST_num,160,10
C09BB04_drug,161,220
J01MA17_drug,162,329
R03BA02_drug,163,415
C07AA07_drug,164,149
93.08.1_exam,165,58
S01ED51_drug,166,82
C07BB12_drug,167,134
88.93_exam,168,474
A02BC05_drug,169,111
J01FA09_drug,170,434
4AA2F35_drug,171,439
91.38.5_exam,172,444
M03BX05_drug,173,330
MW_2609_exam,174,351
90.11.4_num,175,33
N03AF01_drug,176,286
R03BB06_drug,177,189
R05FB01_drug,178,342
MW_3476_num,179,39
N05CF02_drug,180,176
MW_3472_num,181,3
90.22.5_num,182,40
N02BE01_drug,183,336
C07AB02_drug,184,133
G04CB02_drug,185,137
90.44.1_num,186,52
91.22.4_exam,187,489
90.14.2_exam,188,207
C08CA13_drug,189,97
R05DA_drug,190,387
N03AX14_drug,191,119
N03AF02_drug,192,492
M01AE03_drug,193,230
R03AK06_drug,194,159
C07AB12_drug,195,75
R03AK08_drug,196,246
90.38.2_exam,197,324
90.62.2_exam,198,192
MW_2151_num,199,24
90.69.4_exam,200,217
90.82.5_exam,201,256
90.09.2_num,202,51
H02AB07_drug,203,223
H02AB04_drug,204,227
C08CA09_drug,205,139
N02AA55_drug,206,142
MW_2817_num,207,25
M05BB03_drug,208,193
88.27_exam,209,338
90.25.5_num,210,35
90.56.3_num,211,36
J02AC01_drug,212,281
MW_2815_num,213,45
MW_2787_num,214,5
90.82.5_num,215,32
N03AX16_drug,216,110
90.56.6_num,217,47
90.27.1_num,218,56
90.11.4_exam,219,305
D01AC20_drug,220,409
90.42.1_num,221,17
MW_2144_num,222,27
MW_3462_num,223,20
MW_3474_num,224,28
90.43.5_num,225,23
90.28.1_exam,226,239
MW_2146_num,227,7
R05DA09_drug,228,265
90.23.2_exam,229,308
B03BA51_drug,230,471
J01DD08_drug,231,200
C09CA01_drug,232,108
88.71.4_exam,233,284
N06AB06_drug,234,215
90.38.5_exam,235,378
90.37.4_exam,236,76
C09CA06_drug,237,148
89.24_exam,238,472
90.23.3_exam,239,450
C10AX09_drug,240,87
NULL_drug,241,367
90.42.3_exam,242,328
MW_2814_num,243,37
90.25.5_exam,244,260
89.52_exam,245,205
90.43.2_exam,246,125
90.14.3_num,247,18
MW_3473_num,248,13
89.50_exam,249,74
C01BC04_drug,250,250
A02BX13_drug,251,96
90.14.1_num,252,42
D07AC14_drug,253,360
95.02_exam,254,1
87.41.1_exam,255,420
MW_2816_num,256,9
A16AA02_drug,257,379
90.06.4_exam,258,376
A12AX_drug,259,461
S01EE04_drug,260,141
C09AA03_drug,261,135
90.09.2_exam,262,101
A07AA11_drug,263,152
N05BA_drug,264,166
C10AA02_drug,265,407
88.26_exam,266,353
90.16.3_exam,267,165
J01FA06_drug,268,333
90.04.5_exam,269,187
MW_2153_num,270,6
P01BA02_drug,271,429
N06AX05_drug,272,94
90.15.4_num,273,48
B01AC05_drug,274,95
88.79.7_exam,275,476
90.51.4_exam,276,55
L02BA01_drug,277,235
MW_2155_num,278,22
N06AB04_drug,279,357
C09DA06_drug,280,209
C09DA01_drug,281,248
90.94.2_exam,282,389
90.40.4_num,283,49
A10BF01_drug,284,277
C03DA02_drug,285,264
N05CD06_drug,286,464
C01BD01_drug,287,103
M01AX17_drug,288,269
88.94.1_exam,289,377
PRESSIONE_SIST_num,290,34
90.04.5_num,291,31
J01XX01_drug,292,306
S01CA01_drug,293,285
90.42.3_num,294,43
90.14.1_exam,295,161
90.43.2_num,296,50
90.14.2_num,297,14
R03AC02_drug,298,290
C09BA05_drug,299,150
88.75.1_exam,300,475
A03FA06_drug,301,446
B01AA03_drug,302,79
R03AK07_drug,303,121
C08CA12_drug,304,184
C09BA02_drug,305,366
MW_2131_num,306,12
R03BA03_drug,307,363
C09AA15_drug,308,242
M02AA15_drug,309,480
R06AX27_drug,310,477
A07EC02_drug,311,179
90.13.5_exam,312,251
A10AE04_drug,313,232
A11CC04_drug,314,169
A02BC04_drug,315,118
R06AX25_drug,316,441
A03AA05_drug,317,482
R06AE07_drug,318,186
90.93.5_exam,319,433
L02BG04_drug,320,211
N03AX12_drug,321,311
90.93.4_exam,322,253
91.18.5_exam,323,368
90.35.5_exam,324,345
C09BA06_drug,325,495
B01AC24_drug,326,307
N03AX11_drug,327,358
B03AB_drug,328,245
90.29.2_num,329,46
M01AB16_drug,330,463
C09BA04_drug,331,105
90.40.4_exam,332,85
C01BC03_drug,333,225
C07AA05_drug,334,453
B05BB01_drug,335,247
90.14.3_exam,336,222
90.47.3_exam,337,393
J02AC02_drug,338,228
45.13_exam,339,226
M02AA10_drug,340,457
B01AB_drug,341,373
S01EC01_drug,342,479
R05DB27_drug,343,163
90.19.2_exam,344,419
90.22.3_num,345,30
4AA2F12_drug,346,218
L02BG03_drug,347,356
R06AE09_drug,348,399
C09DA07_drug,349,369
4AA2F27_drug,350,478
88.79.2_exam,351,427
90.42.5_exam,352,334
N06AA04_drug,353,276
4AA2F14_drug,354,421
90.05.1_exam,355,380
90.64.2_exam,356,432
B03AA01_drug,357,418
C09DB02_drug,358,146
H03BB02_drug,359,456
C09CA04_drug,360,140
89.37.2_exam,361,455
A12AA04_drug,362,383
N06BX12_drug,363,488
B03AA07_drug,364,221
N05BA08_drug,365,282
4AA2B99_drug,366,398
J01DD13_drug,367,466
M01AB15_drug,368,263
A03FA_drug,369,171
4AA2F11_drug,370,309
90.10.1_exam,371,485
A07EA07_drug,372,274
L01BA01_drug,373,224
MW_2818_num,374,21
A10AB06_drug,375,384
A10AB05_drug,376,436
A03CA01_drug,377,344
7BB1_drug,378,431
A03FA03_drug,379,396
A03FA01_drug,380,392
A09AA02_drug,381,490
A10AB04_drug,382,465
A05AA02_drug,383,129
A06AD11_drug,384,411
S01ED05_drug,385,312
S01EC54_drug,386,296
R06AX28_drug,387,484
S01EA05_drug,388,292
89.13_exam,389,2
R05CB07_drug,390,374
R05CB01_drug,391,291
S01EE01_drug,392,136
N07CA01_drug,393,410
N07XX_drug,394,364
NaN_drug,395,202
R03BB05_drug,396,201
87.24_exam,397,408
S01EE05_drug,398,174
87.03_exam,399,375
87.22_exam,400,459
N05AH03_drug,401,462
N05AD01_drug,402,388
N05AA03_drug,403,240
N04BD01_drug,404,254
N05CD05_drug,405,483
N06AA09_drug,406,147
N05AL05_drug,407,395
N05AH04_drug,408,102
N06AX21_drug,409,293
N06BX06_drug,410,394
N06CA01_drug,411,272
N06DA03_drug,412,216
N06DX01_drug,413,210
90.24.5_exam,414,468
N06AX11_drug,415,257
N05AL07_drug,416,237
90.29.2_exam,417,350
90.27.4_exam,418,425
90.32.3_exam,419,405
90.34.6_exam,420,406
M05BA_drug,421,190
88.79.8_exam,422,362
89.43_exam,423,470
90.05.5_exam,424,401
90.10.5_exam,425,199
90.12.A_exam,426,279
N04BC05_drug,427,445
N04BC09_drug,428,416
R03DC03_drug,429,370
88.01.6_exam,430,467
88.21_exam,431,346
88.28_exam,432,317
N04BA02_drug,433,89
N04BA03_drug,434,304
N03AE01_drug,435,287
N04AA02_drug,436,354
N02AX06_drug,437,321
N02AX02_drug,438,234
N02AA59_drug,439,122
N02AB03_drug,440,130
M04AC01_drug,441,437
M03BX01_drug,442,361
M05BA07_drug,443,131
D05AX52_drug,444,493
C10AA04_drug,445,271
J07AX_drug,446,460
L01XX05_drug,447,117
J01EE01_drug,448,288
90.60.2_exam,449,310
90.52.4_exam,450,448
90.65.3_exam,451,59
90.65.1_exam,452,442
90.82.3_exam,453,491
C08DA01_drug,454,302
C08DB01_drug,455,320
90.74.5_exam,456,397
C09AA06_drug,457,365
C09AA07_drug,458,352
D07CC01_drug,459,481
G03CA04_drug,460,443
G04CA03_drug,461,494
H02AB02_drug,462,385
L02AE04_drug,463,469
L02AE02_drug,464,447
B03XA01_drug,465,124
C09BB12_drug,466,303
C09BB02_drug,467,262
C09BA15_drug,468,298
C09AA08_drug,469,332
C09BA03_drug,470,160
C01EB17_drug,471,88
C01AA05_drug,472,86
C08CA02_drug,473,400
C08CA05_drug,474,197
A10BD08_drug,475,138
C01DA14_drug,476,109
C03DA01_drug,477,99
C03DA03_drug,478,194
C07BB07_drug,479,496
C03CA04_drug,480,112
A11CC03_drug,481,273
A10BX02_drug,482,162
A10BH01_drug,483,337
A10BG03_drug,484,299
A10BD07_drug,485,372
B01AX05_drug,486,313
B01AF02_drug,487,208
B01AE07_drug,488,183
91.09.4_exam,489,458
9056501_exam,490,413
B03BA03_drug,491,167
91.19.5_exam,492,343
4AA2F31_drug,493,412
90.10.5_num,494,41
MW_2832_exam,495,438
4AA2F10_drug,496,426
