Feature,Importance
95.02_exam,0.9998251
89.13_exam,0.013552324
MW_3472_num,0.0005771755
90.16.3_num,0.00040288153
MW_2787_num,0.00038759602
MW_2153_num,0.00031148148
MW_2146_num,0.00029391577
MW_3461_num,0.0002832953
MW_2816_num,0.00027017604
PRESSIONE_DIAST_num,0.00024300253
90.72.3_num,0.00024286746
MW_2131_num,0.00023686692
MW_3473_num,0.00022659182
90.14.2_num,0.00022571295
90.28.1_num,0.00022316865
9042101_exam,0.0002127919
90.42.1_num,0.00020773297
90.14.3_num,0.00020623897
90.10.4_num,0.00020456614
MW_3462_num,0.00020405435
MW_2818_num,0.00020295678
MW_2155_num,0.00019916892
90.43.5_num,0.00019838066
MW_2151_num,0.00019670711
MW_2817_num,0.00019199034
90.23.5_num,0.00019035928
MW_2144_num,0.00018889681
MW_3474_num,0.00018659022
MW_2152_num,0.00017303605
90.22.3_num,0.00016808967
90.04.5_num,0.00016717619
90.82.5_num,0.00015410304
90.11.4_num,0.00015065912
PRESSIONE_SIST_num,0.00014710288
90.25.5_num,0.00014646498
90.56.3_num,0.00014129236
MW_2814_num,0.00013998544
90.56.5_num,0.00013761589
MW_3476_num,0.00013606584
90.22.5_num,0.00013469116
90.10.5_num,0.00013448388
90.14.1_num,0.00013398398
90.42.3_num,0.0001322762
gender,0.00013196297
MW_2815_num,0.00013024433
90.29.2_num,0.00012915555
90.56.6_num,0.00012694838
90.15.4_num,0.00012181296
90.40.4_num,0.00011506518
90.43.2_num,0.00010820691
90.09.2_num,0.00010506291
90.44.1_num,0.00010257604
90.37.4_num,0.00010207691
90.21.6_exam,9.613449e-05
90.51.4_exam,6.19681e-05
90.27.1_num,5.7122314e-05
age,4.5478423e-06
93.08.1_exam,3.134367e-06
90.65.3_exam,1.6595557e-06
A02BC02_drug,6.7424094e-07
C10AA01_drug,5.6909977e-07
C09AA05_drug,5.4977096e-07
C10AX06_drug,4.4180968e-07
A11CC05_drug,4.1339536e-07
C09CA03_drug,4.0986959e-07
C08CA01_drug,3.8623426e-07
M04AA01_drug,3.5992315e-07
A10BA02_drug,3.241251e-07
C10AA05_drug,3.1066486e-07
C07AG02_drug,3.0202733e-07
G04CA04_drug,2.9659404e-07
A02BC03_drug,2.9244947e-07
C10AA03_drug,2.809883e-07
89.50_exam,2.8038534e-07
C07AB12_drug,2.7963014e-07
90.37.4_exam,2.6540516e-07
N05BA12_drug,2.5820728e-07
G04CA01_drug,2.572733e-07
B01AA03_drug,2.5272084e-07
90.44.3_exam,2.4090056e-07
C09AA02_drug,2.3983415e-07
S01ED51_drug,2.3616701e-07
A10BB12_drug,2.3363063e-07
N06AB05_drug,2.3127365e-07
90.40.4_exam,2.3039317e-07
C01AA05_drug,2.1904307e-07
C10AX09_drug,2.1737401e-07
C01EB17_drug,2.1731196e-07
N04BA02_drug,2.1477973e-07
C10AA07_drug,2.1065216e-07
C10BA02_drug,2.0913964e-07
C09DA03_drug,2.0281742e-07
B01AB05_drug,1.9900571e-07
N06AX05_drug,1.962463e-07
B01AC05_drug,1.9285375e-07
A02BX13_drug,1.9222944e-07
C08CA13_drug,1.8757694e-07
C01EB18_drug,1.8526751e-07
C03DA01_drug,1.8502577e-07
B01AC04_drug,1.8429739e-07
90.09.2_exam,1.840054e-07
N05AH04_drug,1.8032125e-07
C01BD01_drug,1.7971041e-07
J01MA12_drug,1.7881979e-07
C09BA04_drug,1.7826112e-07
A12BA01_drug,1.7641526e-07
C09DA04_drug,1.7349605e-07
C09CA01_drug,1.7343513e-07
C01DA14_drug,1.726076e-07
N03AX16_drug,1.7120958e-07
A02BC05_drug,1.672082e-07
C03CA04_drug,1.6670629e-07
C07AB07_drug,1.6360882e-07
B03BB01_drug,1.6246679e-07
N03AG01_drug,1.611153e-07
MW_3952_exam,1.6059559e-07
L01XX05_drug,1.60278e-07
A02BC04_drug,1.6011455e-07
N03AX14_drug,1.5945125e-07
MW39_exam,1.5593805e-07
R03AK07_drug,1.5555653e-07
N02AA59_drug,1.5456939e-07
G04CB01_drug,1.5445517e-07
B03XA01_drug,1.5338512e-07
90.43.2_exam,1.5003201e-07
C02CA04_drug,1.4942518e-07
A02BC01_drug,1.4703053e-07
C09BB07_drug,1.4666259e-07
A05AA02_drug,1.4615834e-07
N02AB03_drug,1.4429567e-07
M05BA07_drug,1.4426874e-07
C09BA07_drug,1.4392921e-07
C07AB02_drug,1.432566e-07
C07BB12_drug,1.4316704e-07
C09AA03_drug,1.41848e-07
S01EE01_drug,1.4083113e-07
G04CB02_drug,1.4000346e-07
A10BD08_drug,1.3856626e-07
C08CA09_drug,1.3753747e-07
C09CA04_drug,1.3750865e-07
S01EE04_drug,1.3725447e-07
N02AA55_drug,1.3560222e-07
H03AA01_drug,1.3455869e-07
C03CA01_drug,1.338263e-07
90.44.1_exam,1.3246193e-07
C09DB02_drug,1.3030842e-07
N06AA09_drug,1.29088e-07
C09CA06_drug,1.2875849e-07
C07AA07_drug,1.2864308e-07
C09BA05_drug,1.2845341e-07
B01AF01_drug,1.281346e-07
A07AA11_drug,1.2717689e-07
M05BA04_drug,1.2558583e-07
B01AC30_drug,1.2489147e-07
90.75.4_exam,1.2424834e-07
90.38.4_exam,1.2312482e-07
M04AA03_drug,1.2121157e-07
L02BB03_drug,1.2118883e-07
R03AK06_drug,1.2064946e-07
C09BA03_drug,1.1877403e-07
90.14.1_exam,1.1791833e-07
