Feature,Importance_Avg
C07BB07_drug,487.5
G04CA03_drug,477.5
91.09.4_exam,473.5
90.82.3_exam,472.0
D07CC01_drug,470.0
D05AX52_drug,468.5
MW_2832_exam,466.5
L02AE04_drug,466.0
4AA2F10_drug,461.0
L02AE02_drug,455.5
J07AX_drug,453.0
4AA2F31_drug,452.5
G03CA04_drug,451.5
9056501_exam,451.5
90.52.4_exam,449.0
88.01.6_exam,448.5
90.65.1_exam,447.0
89.43_exam,446.5
N05CD05_drug,444.0
90.24.5_exam,441.0
M04AC01_drug,439.0
C08CA02_drug,436.5
N04BC05_drug,436.0
A09AA02_drug,435.5
R06AX28_drug,435.5
N05AH03_drug,431.5
87.22_exam,429.5
A10BD07_drug,428.5
90.10.1_exam,428.0
90.74.5_exam,426.5
N06BX12_drug,425.5
A10AB04_drug,423.5
H02AB02_drug,423.5
N04BC09_drug,422.0
90.27.4_exam,421.5
91.19.5_exam,417.5
J01DD13_drug,416.5
4AA2F27_drug,414.0
90.34.6_exam,413.0
90.05.5_exam,412.5
90.32.3_exam,412.0
C09AA06_drug,411.0
S01EC01_drug,410.5
C09BA06_drug,410.0
A10BH01_drug,410.0
89.37.2_exam,408.0
H03BB02_drug,407.5
A10AB05_drug,406.0
C09AA07_drug,405.0
7BB1_drug,404.5
87.24_exam,402.5
N06BX06_drug,402.0
N07CA01_drug,401.5
M03BX01_drug,401.5
N05AL05_drug,401.0
C09AA08_drug,400.5
A03AA05_drug,399.5
R03DC03_drug,399.5
B01AX05_drug,399.5
M02AA10_drug,398.5
A06AD11_drug,397.5
M01AB16_drug,396.5
N05AD01_drug,395.0
N04AA02_drug,395.0
M02AA15_drug,394.5
90.64.2_exam,394.0
C07AA05_drug,393.5
R06AX27_drug,393.5
88.79.8_exam,392.0
A10BG03_drug,391.5
88.79.2_exam,389.0
88.21_exam,388.5
88.75.1_exam,387.5
A03FA03_drug,387.5
B03AA01_drug,387.5
4AA2F14_drug,387.5
C08DB01_drug,387.5
87.03_exam,387.0
A03FA01_drug,386.0
C09BB12_drug,384.5
90.29.2_exam,383.5
C09BA15_drug,383.0
R05CB07_drug,382.0
4AA2B99_drug,382.0
90.19.2_exam,381.5
90.60.2_exam,379.5
A10AB06_drug,379.5
N07XX_drug,379.0
N02AX06_drug,379.0
R06AX25_drug,378.5
C08DA01_drug,378.0
A11CC03_drug,377.0
90.93.5_exam,376.0
