Feature,Importance
90.49.5_exam,0.020016808
MW_5401_exam,0.019837767
C01DA02_drug,0.015547196
age,0.014001401
J01CR02_drug,0.01298204
89.01_exam,0.0126142595
gender,0.0125733195
90.44.1_exam,0.011763771
89.7_exam,0.011373573
J01MA12_drug,0.011317249
88.76.1_exam,0.01056007
90.23.5_exam,0.010416968
90.56.5_exam,0.009943179
90.16.3_num,0.009317174
S01EC04_drug,0.008927047
M01AE01_drug,0.008883565
NaN_exam,0.008820238
M01AB05_drug,0.008241732
90.30.2_exam,0.007956498
4AA2F99_drug,0.007926416
90.55.3_exam,0.007830919
B01AF01_drug,0.0077323876
88.23_exam,0.0076687993
A02BA02_drug,0.0076402696
MW_3952_exam,0.0073537193
45.23_exam,0.007336368
90.44.3_exam,0.006794119
C03EB01_drug,0.0067798835
N05BA12_drug,0.006554837
90.28.4_exam,0.006483769
88.79.1_exam,0.0062612803
A11CC05_drug,0.0060908054
90.56.5_num,0.0058518173
C07AG02_drug,0.0058236783
90.21.6_exam,0.005749658
A10BB09_drug,0.0056998106
90.27.1_exam,0.0053620017
J01BA02_drug,0.0053087203
R03BB04_drug,0.005230487
C07CB03_drug,0.005156917
J01CA04_drug,0.0050194617
90.84.5_exam,0.004924339
90.72.3_exam,0.0048466097
MW_3461_num,0.004771579
B01AC30_drug,0.00472079
90.38.4_exam,0.0047057616
4AA2F32_drug,0.0046768226
88.73.5_exam,0.0046467646
90.23.5_num,0.0046008406
90.21.4_exam,0.004563261
C10AA01_drug,0.004556788
90.36.6_exam,0.004471779
90.44.5_exam,0.0044669886
C09AA02_drug,0.004420492
B03BB01_drug,0.0043708105
90.13.3_exam,0.0042663934
C03EA01_drug,0.004190423
N05BA06_drug,0.0041780355
N07CA52_drug,0.004107669
C10BA02_drug,0.0040604994
C09AA04_drug,0.004058638
9042101_exam,0.0040497757
A02BC01_drug,0.004002428
A02BC02_drug,0.003927424
MW_1935_exam,0.0039001761
90.54.4_exam,0.003897634
90.43.5_exam,0.003868193
87.37.1_exam,0.0038355892
C01EB18_drug,0.0038137168
A06AD65_drug,0.0037691544
C09BB07_drug,0.0037099796
90.33.4_exam,0.0037079083
J01DD04_drug,0.0037044499
A02AD02_drug,0.003689965
90.37.4_num,0.0036564653
89.26_exam,0.0036500185
C09CA07_drug,0.0036093052
90.28.1_num,0.0036022682
C09CA03_drug,0.0035591517
G04CA01_drug,0.0035096665
4AA2F15_drug,0.0034792346
90.55.2_exam,0.0034559742
C09BA07_drug,0.0034536263
N06AB03_drug,0.003428373
H02AB01_drug,0.0034145543
N06AX16_drug,0.003397595
N06AB10_drug,0.0033808844
G04CA04_drug,0.0033767696
C09CA08_drug,0.0033168718
90.76.1_exam,0.0033126501
C10AA03_drug,0.003251184
S01EE03_drug,0.0032371753
G04CB01_drug,0.0032172317
90.32.5_exam,0.00318119
C10AB04_drug,0.0031547088
88.99.2_exam,0.0031290485
90.56.6_exam,0.0031242708
R03BA01_drug,0.0031168363
90.10.4_num,0.003102688
B02AA02_drug,0.0030898647
N03AA02_drug,0.0030715754
C07AB07_drug,0.0030628259
A10BD02_drug,0.0030553269
B01AB05_drug,0.0029984664
C08CA01_drug,0.0029590025
B01AC04_drug,0.0029111905
C10AA07_drug,0.0028943636
A02BC03_drug,0.002886987
MW39_exam,0.002886188
90.75.4_exam,0.0028571566
N02BE51_drug,0.0028547843
G04CA02_drug,0.002847521
C10AX06_drug,0.0028416566
S01EC03_drug,0.002836312
M04AA03_drug,0.0028299429
88.73.1_exam,0.0028115297
A12BA01_drug,0.0028110975
J01MA02_drug,0.0027950157
G04BD04_drug,0.0027921044
B01AC06_drug,0.002775264
C09AA05_drug,0.00276818
H03AA01_drug,0.002742644
90.22.3_exam,0.0027355002
90.72.3_num,0.0027050453
M01AH05_drug,0.002677777
88.72.1_exam,0.002665815
90.15.4_exam,0.0026613607
MW_2152_num,0.002647434
C10AA05_drug,0.002596578
M05BA04_drug,0.0025908498
S01ED01_drug,0.0025625904
90.22.5_exam,0.0025622465
90.56.3_exam,0.0025495961
C09DA08_drug,0.0025382757
87.44.1_exam,0.0025327164
C02CA04_drug,0.002526671
88.74.1_exam,0.0025258004
90.55.1_exam,0.0025212981
N03AG01_drug,0.0025187947
MW_1946_exam,0.0025169414
90.10.4_exam,0.0025082552
90.42.1_exam,0.0024772615
C09BA12_drug,0.0024745807
A10BA02_drug,0.0024403727
90.43.3_exam,0.002422131
N06AB05_drug,0.0023651272
L02BB03_drug,0.0023337516
88.77.2_exam,0.0023241143
C03CA01_drug,0.002322838
C09DA03_drug,0.0023149333
A10BB12_drug,0.002313149
R03AK10_drug,0.0023079873
C09DA04_drug,0.0022915506
C07AB03_drug,0.0022818863
4AA2F09_drug,0.0022807268
4AA2F33_drug,0.0022779573
J01FA10_drug,0.0022630878
M04AA01_drug,0.0022623087
R05CB06_drug,0.0022471617
PRESSIONE_DIAST_num,0.0022437728
C09BB04_drug,0.0022418401
J01MA17_drug,0.0022296873
R03BA02_drug,0.0022168967
C07AA07_drug,0.002207571
93.08.1_exam,0.0021942658
S01ED51_drug,0.0021941771
C07BB12_drug,0.0021835032
88.93_exam,0.0021490755
A02BC05_drug,0.002130449
J01FA09_drug,0.0021011776
4AA2F35_drug,0.0020865584
91.38.5_exam,0.0020734982
M03BX05_drug,0.0020401385
MW_2609_exam,0.0019929346
90.11.4_num,0.0019707666
N03AF01_drug,0.0019622275
R03BB06_drug,0.0019551432
R05FB01_drug,0.0019393603
MW_3476_num,0.001928639
N05CF02_drug,0.001926757
MW_3472_num,0.0019174683
90.22.5_num,0.0019157939
N02BE01_drug,0.0018849825
C07AB02_drug,0.0018784598
G04CB02_drug,0.0018420854
90.44.1_num,0.0018057835
91.22.4_exam,0.001800033
90.14.2_exam,0.0017895603
C08CA13_drug,0.0017709463
R05DA_drug,0.0017652775
N03AX14_drug,0.0017646786
N03AF02_drug,0.0017575205
M01AE03_drug,0.0017483688
R03AK06_drug,0.0017466589
C07AB12_drug,0.0017380659
R03AK08_drug,0.0017332511
90.38.2_exam,0.0017319026
90.62.2_exam,0.0017223327
MW_2151_num,0.0016988707
90.69.4_exam,0.0016779577
90.82.5_exam,0.0016729617
90.09.2_num,0.0016508651
H02AB07_drug,0.0016282011
H02AB04_drug,0.0016169578
C08CA09_drug,0.0016145444
N02AA55_drug,0.0016036241
MW_2817_num,0.0015931665
M05BB03_drug,0.0015922046
88.27_exam,0.0015791651
90.25.5_num,0.0015777043
90.56.3_num,0.0015771351
J02AC01_drug,0.0015756274
MW_2815_num,0.0015589689
MW_2787_num,0.0015565427
90.82.5_num,0.001550192
N03AX16_drug,0.001549492
90.56.6_num,0.0015430575
90.27.1_num,0.0015313601
90.11.4_exam,0.0015308204
D01AC20_drug,0.0015245544
90.42.1_num,0.0015191403
MW_2144_num,0.0015143274
MW_3462_num,0.001499578
MW_3474_num,0.0014985754
90.43.5_num,0.0014921073
90.28.1_exam,0.0014899276
MW_2146_num,0.001470534
R05DA09_drug,0.0014508778
90.23.2_exam,0.0014507753
B03BA51_drug,0.0014391397
J01DD08_drug,0.0014391382
C09CA01_drug,0.0014346552
88.71.4_exam,0.0014308194
N06AB06_drug,0.0013924085
90.38.5_exam,0.0013898805
90.37.4_exam,0.0013810735
C09CA06_drug,0.0013689562
89.24_exam,0.0013623899
90.23.3_exam,0.0013533164
C10AX09_drug,0.0013475433
NULL_drug,0.0013453638
90.42.3_exam,0.0013349099
MW_2814_num,0.0013248862
90.25.5_exam,0.0013139463
89.52_exam,0.0013090714
90.43.2_exam,0.001302798
90.14.3_num,0.001296852
MW_3473_num,0.0012891447
89.50_exam,0.0012721387
C01BC04_drug,0.001268179
A02BX13_drug,0.0012571748
90.14.1_num,0.0012371778
D07AC14_drug,0.0012368755
95.02_exam,0.00123653
87.41.1_exam,0.0012355054
MW_2816_num,0.001216884
A16AA02_drug,0.0012119518
90.06.4_exam,0.001208215
A12AX_drug,0.001206435
S01EE04_drug,0.0011919086
C09AA03_drug,0.0011879035
