Feature,Importance
age,0.11419753
90.16.3_num,0.108024694
gender,0.06481481
90.36.6_exam,0.015432099
MW_3462_num,0.015432099
MW_2787_num,0.012345679
J01BA02_drug,0.012345679
90.16.3_exam,0.012345679
S01ED51_drug,0.012345679
H02AB02_drug,0.012345679
90.25.5_num,0.012345679
M04AA01_drug,0.009259259
N03AX11_drug,0.009259259
M04AA03_drug,0.009259259
C10AA03_drug,0.009259259
90.44.1_num,0.009259259
90.82.5_num,0.009259259
MW_5401_exam,0.009259259
90.22.5_num,0.009259259
R03BB05_drug,0.009259259
C03CA01_drug,0.009259259
N05BA_drug,0.009259259
A02BC02_drug,0.009259259
A12AA04_drug,0.009259259
MW_3474_num,0.009259259
C08CA01_drug,0.009259259
A11CC05_drug,0.009259259
C03CA04_drug,0.0061728396
C09AA05_drug,0.0061728396
C08CA12_drug,0.0061728396
J02AC01_drug,0.0061728396
90.23.5_num,0.0061728396
90.28.1_num,0.0061728396
90.37.4_num,0.0061728396
R03BB04_drug,0.0061728396
90.43.5_exam,0.0061728396
PRESSIONE_DIAST_num,0.0061728396
C07AB12_drug,0.0061728396
90.38.5_exam,0.0061728396
A11CC03_drug,0.0061728396
A11CC04_drug,0.0061728396
A02BC01_drug,0.0061728396
A10BA02_drug,0.0061728396
M05BB03_drug,0.0061728396
C01EB17_drug,0.0061728396
C01DA14_drug,0.0061728396
A02BC03_drug,0.0061728396
N05AD01_drug,0.0061728396
N03AF02_drug,0.0061728396
R03AC02_drug,0.0061728396
88.73.1_exam,0.0061728396
90.10.4_num,0.0061728396
90.43.2_num,0.0061728396
90.56.5_num,0.0061728396
H03AA01_drug,0.0061728396
H02AB01_drug,0.0061728396
G04CB01_drug,0.0061728396
C10AA01_drug,0.0061728396
A10BD07_drug,0.0061728396
C03EB01_drug,0.0061728396
A10BX02_drug,0.0061728396
B01AC05_drug,0.0061728396
A02BA02_drug,0.0061728396
B01AC06_drug,0.0061728396
A09AA02_drug,0.0030864198
4AA2F12_drug,0.0030864198
90.27.1_num,0.0030864198
A10AB04_drug,0.0030864198
90.14.2_exam,0.0030864198
90.14.3_exam,0.0030864198
90.44.1_exam,0.0030864198
90.35.5_exam,0.0030864198
MW_3473_num,0.0030864198
90.24.5_exam,0.0030864198
90.69.4_exam,0.0030864198
N03AG01_drug,0.0030864198
N03AF01_drug,0.0030864198
N06AB03_drug,0.0030864198
N04BA02_drug,0.0030864198
N06AA04_drug,0.0030864198
N06AX16_drug,0.0030864198
N06AX21_drug,0.0030864198
N05CF02_drug,0.0030864198
R03BA02_drug,0.0030864198
P01BA02_drug,0.0030864198
C01BD01_drug,0.0030864198
B03BB01_drug,0.0030864198
89.7_exam,0.0030864198
B03XA01_drug,0.0030864198
90.04.5_exam,0.0030864198
87.41.1_exam,0.0030864198
C07AB03_drug,0.0030864198
MW_3476_num,0.0030864198
A02BC05_drug,0.0030864198
B01AB05_drug,0.0030864198
A05AA02_drug,0.0030864198
A03FA06_drug,0.0030864198
A03FA03_drug,0.0030864198
A07AA11_drug,0.0030864198
C09AA06_drug,0.0030864198
C09AA04_drug,0.0030864198
C09BA06_drug,0.0030864198
C09BA12_drug,0.0030864198
C09CA07_drug,0.0030864198
M02AA15_drug,0.0030864198
N03AE01_drug,0.0030864198
M05BA07_drug,0.0030864198
J01CA04_drug,0.0030864198
G04CA01_drug,0.0030864198
G04CA02_drug,0.0030864198
G04CA03_drug,0.0030864198
H02AB04_drug,0.0030864198
L02AE02_drug,0.0030864198
H02AB07_drug,0.0030864198
H03BB02_drug,0.0030864198
C09AA02_drug,0.0030864198
M01AE01_drug,0.0030864198
C09BB07_drug,0.0030864198
90.14.2_num,0.0030864198
90.14.3_num,0.0030864198
C10AX06_drug,0.0030864198
C09DA03_drug,0.0030864198
C09DA07_drug,0.0030864198
A10BB12_drug,0.0030864198
91.38.5_exam,0.0030864198
MW_3952_exam,0.0030864198
90.04.5_num,0.0030864198
C09DB02_drug,0.0030864198
90.14.1_num,0.0030864198
MW_3461_num,0.0030864198
A10BG03_drug,0.0030864198
MW_2151_num,0.0030864198
MW_2144_num,0.0030864198
MW_2131_num,0.0030864198
MW_2153_num,0.0030864198
90.43.5_num,0.0030864198
90.42.3_num,0.0030864198
4AA2F99_drug,0.0030864198
90.42.1_num,0.0030864198
90.40.4_num,0.0
4AA2F15_drug,0.0
4AA2F27_drug,0.0
4AA2F31_drug,0.0
4AA2F32_drug,0.0
B01AA03_drug,0.0
B01AB_drug,0.0
B01AC04_drug,0.0
B01AC24_drug,0.0
B01AC30_drug,0.0
B01AE07_drug,0.0
B01AF01_drug,0.0
B01AF02_drug,0.0
90.84.5_exam,0.0
MW_3472_num,0.0
PRESSIONE_SIST_num,0.0
A02AD02_drug,0.0
A10BH01_drug,0.0
A12AX_drug,0.0
A12BA01_drug,0.0
A16AA02_drug,0.0
90.65.1_exam,0.0
90.65.3_exam,0.0
90.72.3_exam,0.0
90.74.5_exam,0.0
90.75.4_exam,0.0
90.76.1_exam,0.0
90.82.3_exam,0.0
90.82.5_exam,0.0
90.55.2_exam,0.0
90.55.3_exam,0.0
90.56.3_exam,0.0
90.56.5_exam,0.0
90.56.6_exam,0.0
90.60.2_exam,0.0
90.62.2_exam,0.0
90.64.2_exam,0.0
J01EE01_drug,0.0
J01FA06_drug,0.0
J01FA09_drug,0.0
J01FA10_drug,0.0
J01MA02_drug,0.0
J01MA12_drug,0.0
J01MA17_drug,0.0
J01XX01_drug,0.0
G03CA04_drug,0.0
G04BD04_drug,0.0
G04CA04_drug,0.0
G04CB02_drug,0.0
J01CR02_drug,0.0
J01DD04_drug,0.0
J01DD08_drug,0.0
J01DD13_drug,0.0
C10AA07_drug,0.0
C10AB04_drug,0.0
C10AX09_drug,0.0
C10BA02_drug,0.0
D01AC20_drug,0.0
D05AX52_drug,0.0
D07AC14_drug,0.0
D07CC01_drug,0.0
C09CA08_drug,0.0
C09DA01_drug,0.0
C09DA04_drug,0.0
C09DA06_drug,0.0
C09DA08_drug,0.0
C10AA02_drug,0.0
C10AA04_drug,0.0
C10AA05_drug,0.0
C09BA04_drug,0.0
C09BA05_drug,0.0
C09BA07_drug,0.0
C09BA15_drug,0.0
C09BB02_drug,0.0
C09BB04_drug,0.0
C09BB12_drug,0.0
C09CA01_drug,0.0
C08DA01_drug,0.0
C08DB01_drug,0.0
C09AA03_drug,0.0
C09AA07_drug,0.0
C09AA08_drug,0.0
C09AA15_drug,0.0
C09BA02_drug,0.0
C09BA03_drug,0.0
L02BG04_drug,0.0
M01AB05_drug,0.0
M01AB15_drug,0.0
M01AB16_drug,0.0
C08CA02_drug,0.0
C08CA05_drug,0.0
C08CA09_drug,0.0
C08CA13_drug,0.0
J02AC02_drug,0.0
J07AX_drug,0.0
L01BA01_drug,0.0
L01XX05_drug,0.0
L02AE04_drug,0.0
L02BA01_drug,0.0
L02BB03_drug,0.0
L02BG03_drug,0.0
N04BA03_drug,0.0
N04BC05_drug,0.0
N04BC09_drug,0.0
N04BD01_drug,0.0
N05AA03_drug,0.0
N05AH03_drug,0.0
N05AH04_drug,0.0
N05AL05_drug,0.0
N02AX06_drug,0.0
N02BE01_drug,0.0
N02BE51_drug,0.0
N03AA02_drug,0.0
N03AX12_drug,0.0
N03AX14_drug,0.0
N03AX16_drug,0.0
N04AA02_drug,0.0
M03BX05_drug,0.0
M04AC01_drug,0.0
M05BA_drug,0.0
M05BA04_drug,0.0
N02AA55_drug,0.0
N02AA59_drug,0.0
N02AB03_drug,0.0
N02AX02_drug,0.0
C09CA03_drug,0.0
C09CA04_drug,0.0
C09CA06_drug,0.0
M01AE03_drug,0.0
M01AH05_drug,0.0
M01AX17_drug,0.0
M02AA10_drug,0.0
M03BX01_drug,0.0
R03AK07_drug,0.0
R03AK08_drug,0.0
R03AK10_drug,0.0
R03BA01_drug,0.0
R03BA03_drug,0.0
R03BB06_drug,0.0
R03DC03_drug,0.0
R05CB01_drug,0.0
N06DA03_drug,0.0
N06DX01_drug,0.0
N07CA01_drug,0.0
N07CA52_drug,0.0
N07XX_drug,0.0
NULL_drug,0.0
NaN_drug,0.0
R03AK06_drug,0.0
N06AB05_drug,0.0
N06AB06_drug,0.0
N06AB10_drug,0.0
N06AX05_drug,0.0
N06AX11_drug,0.0
N06BX06_drug,0.0
N06BX12_drug,0.0
N06CA01_drug,0.0
N05AL07_drug,0.0
N05BA06_drug,0.0
N05BA08_drug,0.0
N05BA12_drug,0.0
N05CD05_drug,0.0
N05CD06_drug,0.0
N06AA09_drug,0.0
N06AB04_drug,0.0
45.23_exam,0.0
87.03_exam,0.0
87.22_exam,0.0
87.24_exam,0.0
87.37.1_exam,0.0
87.44.1_exam,0.0
88.01.6_exam,0.0
88.21_exam,0.0
S01EC54_drug,0.0
S01ED01_drug,0.0
S01ED05_drug,0.0
S01EE01_drug,0.0
S01EE03_drug,0.0
S01EE04_drug,0.0
S01EE05_drug,0.0
45.13_exam,0.0
R06AX25_drug,0.0
R06AX27_drug,0.0
R06AX28_drug,0.0
S01CA01_drug,0.0
S01EA05_drug,0.0
S01EC01_drug,0.0
S01EC03_drug,0.0
S01EC04_drug,0.0
R05CB06_drug,0.0
R05CB07_drug,0.0
R05DA_drug,0.0
R05DA09_drug,0.0
R05DB27_drug,0.0
R05FB01_drug,0.0
R06AE07_drug,0.0
R06AE09_drug,0.0
89.50_exam,0.0
89.52_exam,0.0
90.05.1_exam,0.0
90.05.5_exam,0.0
90.06.4_exam,0.0
90.09.2_exam,0.0
90.10.1_exam,0.0
90.10.4_exam,0.0
88.94.1_exam,0.0
88.99.2_exam,0.0
89.01_exam,0.0
89.13_exam,0.0
89.24_exam,0.0
89.26_exam,0.0
89.37.2_exam,0.0
89.43_exam,0.0
