Feature,Importance
90.49.5_exam,0.020016808
MW_5401_exam,0.019837767
C01DA02_drug,0.015547196
age,0.014001401
J01CR02_drug,0.01298204
89.01_exam,0.0126142595
gender,0.0125733195
90.44.1_exam,0.011763771
89.7_exam,0.011373573
J01MA12_drug,0.011317249
88.76.1_exam,0.01056007
90.23.5_exam,0.010416968
90.56.5_exam,0.009943179
90.16.3_num,0.009317174
S01EC04_drug,0.008927047
M01AE01_drug,0.008883565
NaN_exam,0.008820238
M01AB05_drug,0.008241732
90.30.2_exam,0.007956498
4AA2F99_drug,0.007926416
90.55.3_exam,0.007830919
B01AF01_drug,0.0077323876
88.23_exam,0.0076687993
A02BA02_drug,0.0076402696
MW_3952_exam,0.0073537193
45.23_exam,0.007336368
90.44.3_exam,0.006794119
C03EB01_drug,0.0067798835
N05BA12_drug,0.006554837
90.28.4_exam,0.006483769
88.79.1_exam,0.0062612803
A11CC05_drug,0.0060908054
90.56.5_num,0.0058518173
C07AG02_drug,0.0058236783
90.21.6_exam,0.005749658
A10BB09_drug,0.0056998106
90.27.1_exam,0.0053620017
J01BA02_drug,0.0053087203
R03BB04_drug,0.005230487
C07CB03_drug,0.005156917
J01CA04_drug,0.0050194617
90.84.5_exam,0.004924339
90.72.3_exam,0.0048466097
MW_3461_num,0.004771579
B01AC30_drug,0.00472079
90.38.4_exam,0.0047057616
4AA2F32_drug,0.0046768226
88.73.5_exam,0.0046467646
90.23.5_num,0.0046008406
90.21.4_exam,0.004563261
